Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
231491159,Navigating: Quantum Physics,Gemma Lavender,"Lavender, Gemma",,"=""1917226098""","=""9781917226097""",0,Riverside Press,Paperback,160,2025,,2026/05/21,2026/05/01,,,read,,,,1,0
127836085,"Nietzsche and Jung: The Whole Self in the Union of Opposites 1st edition by Huskinson, Lucy (2004) Paperback",Lucy Huskinson,"Huskinson, Lucy",,"=""""","=""""",0,Routledge,Paperback,0,,2004,,2026/05/01,to-read,to-read (#603),to-read,,,,0,0
231166225,Shakespeare Sözlüğü,Özdemir Nutku,"Nutku, Özdemir",,"=""6253840401""","=""9786253840402""",0,Türkiye İş Bankası Kültür Yayınları,Paperback,560,2025,,,2026/05/01,to-read,to-read (#602),to-read,,,,0,0
22581612,A History of the Brain: From Stone Age surgery to modern neuroscience,Andrew P. Wickens,"Wickens, Andrew P.",,"=""1848723652""","=""9781848723658""",0,Psychology Press,Paperback,404,2014,2014,,2026/05/01,to-read,to-read (#601),to-read,,,,0,0
15940223,Higgs Force,Nicholas Mee,"Mee, Nicholas",,"=""0957274610""","=""9780957274617""",0,Quantum Wave Publishing,Paperback,440,2012,2012,,2026/05/01,to-read,to-read (#600),to-read,,,,0,0
13021377,The Freud Files: An Inquiry into the History of Psychoanalysis,Mikkel Borch-Jacobsen,"Borch-Jacobsen, Mikkel",,"=""0521729785""","=""9780521729789""",0,Cambridge University Press,Paperback,416,2012,2006,,2026/05/01,to-read,to-read (#599),to-read,,,,0,0
920649,An Occurrence at Owl Creek Bridge,Ambrose Bierce,"Bierce, Ambrose",,"=""0874068134""","=""9780874068139""",0,St. Petersburg,ebook,36,1996,1890,2026/04/15,2026/04/15,,,read,"Bir kitap değil aslında, bir kitabın (Yaşamın Ortasından) içindeki kısacık bir hikaye Owl Creek Köprüsü'nde Bir Olay. Gemini önerdiği için okudum. İdam edilmek üzere köprüden asılan bir adam, ip koptuğu için suya düşer, kaçar, günlerce yolculuk yapıp ailesine kavuşur... Ve hikayenin sonunda anlarız ki, tüm bu kurtuluş serüveni, adamın köprüden düşüşü ile boynunun kırılması arasındaki o bir saniyeden kısa sürede beyninin uydurduğu bir gerçekliktir.",true,,1,0
27310494,The Ancient Origins of Consciousness: How the Brain Created Experience,Todd E. Feinberg,"Feinberg, Todd E.",Jon M. Mallatt,"=""0262034336""","=""9780262034333""",0,MIT Press,Hardcover,366,1689,,,2026/04/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
604313,Introducing Quantum Theory,J.P.  McEvoy,"McEvoy, J.P.",,"=""1840465778""","=""9781840465778""",0,"Icon,Totem Books",Paperback,176,2004,,2026/04/11,2026/03/22,,,read,,,,1,0
355697,All Quiet on the Western Front,Erich Maria Remarque,"Remarque, Erich Maria",Arthur Wesley Wheen,"=""0449213943""","=""9780449213940""",0,Ballantine Books,Mass Market Paperback,296,1987,1928,2026/04/09,2026/04/09,,,read,,,,1,0
11107244,The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,"Pinker, Steven",,"=""0670022950""","=""9780670022953""",5,Viking,Hardcover,802,2011,2010,2024/12/19,2023/06/18,bought,bought (#159),read,,,,1,0
216578,Marie Curie: And the Science of Radioactivity (Oxford Science Portraits),Naomi Pasachoff,"Pasachoff, Naomi",,"=""0195120116""","=""9780195120110""",0,Oxford University Press,Paperback,109,1997,1996,,2026/04/02,to-read,to-read (#598),to-read,,,,0,0
198990881,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,"Sacks, Oliver",,"=""0684853949""","=""9780684853949""",0,Pocket Books,Paperback,243,2023,1985,2026/03/31,2026/03/21,,,read,,,,1,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",0,Penguin Books,Paperback,452,2000,1999,,2026/03/27,to-read,to-read (#597),to-read,,,,0,0
445408,The Ignorant Schoolmaster: Five Lessons in Intellectual Emancipation,Jacques Rancière,"Rancière, Jacques",Kristin Ross,"=""0804719691""","=""9780804719698""",0,Stanford University Press,Paperback,176,1991,1987,,2026/03/24,to-read,to-read (#596),to-read,,,,0,0
1835129,Puslu Kıtalar Atlası,İhsan Oktay Anar,"Anar, İhsan Oktay",,"=""""","=""""",1,İletişim Yayınları,Paperback,238,2016,1995,2026/03/21,2025/07/16,,,read,,,,1,0
74993966,Conversations With Neil's Brain. The Neural Nature of Thought and Language,William H. Calvin,"Calvin, William H.",,"=""""","=""""",5,Addison-Wesley,Paperback,,1994,1994,2024/01/28,2024/01/01,"bought, favorites","bought (#186), favorites (#33)",read,"Normalde İngilizce yorum yazmayı düşünüyordum ama kitabın toplamda 10 yorumu var ve 7 tanesi İngilizce, 3 tanesi Türkçe. Bu sebeple Türkçe yorum sayısına katkıda bulunmak istedim. Henüz 110. sayfadayım ve kitabı çok beğendim.  Her sayfasında yeni ve hepsi birbirinden ilginç şeyler öğreniyorum. Goodreads'de gördüğüm kadarıyla kitabın çevirisinin yapıldığı tek dil Türkçe. Bu kadar harika bir kitap nasıl olmuş da okunmamış şaşırdım ve üzüldüm. Son senelerde okuduğum en harika kitaplardan biri, abartmıyorum. Öğretici olduğu gibi sürükleyici de. Konu ilginizi çekiyorsa mutlaka okuyun derim. Ayrıca William Calvin'in web sayfasına ve YouTube kanalına da bakabilirsiniz. İlgi çekici paylaşımları ve video dersleri var.",,,1,0
13117020,The Personal MBA: A World-Class Business Education in a Single Volume,Josh Kaufman,"Kaufman, Josh",,"=""""","=""""",5,,Kindle Edition,476,,2010,2024/10/18,2024/09/04,favorites,favorites (#34),read,,,,1,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",0,Tinder Press,Hardcover,372,2020,2020,2026/03/20,2026/02/26,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,Avery,Kindle Edition,319,2018,2018,2021/04/27,2021/04/11,"bought, favorites","bought (#10), favorites (#9)",read,,,,2,0
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,Scribner,Hardcover,592,2016,2016,2026/03/15,2022/03/23,,,read,,,,1,0
21079821,The Cyberiad: Fables for the Cybernetic Age,Stanisław Lem,"Lem, Stanisław","Daniel Mróz, Michael Kandel, Christopher Priest","=""""","=""""",0,Penguin Classics,Paperback,304,2014,1965,,2026/03/13,to-read,to-read (#595),to-read,,,,0,0
55825273,The Comfort Book,Matt Haig,"Haig, Matt",,"=""0143136666""","=""9780143136668""",0,Penguin Life,Hardcover,272,2021,2021,,2026/03/12,to-read,to-read (#594),to-read,,,,0,0
18118100,Cancer Genomics: From Bench to Personalized Medicine,Graham Dellaire,"Dellaire, Graham","Jason N. Berman, Robert J. Arceci","=""0123969670""","=""9780123969675""",0,Academic Press,Hardcover,510,2013,2013,,2026/03/08,to-read,to-read (#593),to-read,,,,0,0
3312209,"Wer bin ich – und wenn ja, wie viele?",Richard David Precht,"Precht, Richard David",,"=""3442311438""","=""9783442311439""",0,Goldmann,Paperback,398,2007,2007,,2026/03/06,to-read,to-read (#592),to-read,,,,0,0
44334073,Tools and Weapons: The Promise and the Peril of the Digital Age,Brad   Smith,"Smith, Brad",Carol Ann  Browne,"=""1984877712""","=""9781984877710""",0,Penguin Press,Hardcover,368,2019,2019,,2026/02/28,to-read,to-read (#591),to-read,,,,0,0
15760359,İntihar Dükkanı,Jean Teulé,"Teulé, Jean",İsmail Yerguz,"=""""","=""""",0,Sel Yayıncılık,Paperback,144,2013,2007,,2026/02/28,to-read,to-read (#590),to-read,,,,0,0
23919,The Complete Stories and Poems,Edgar Allan Poe,"Poe, Edgar Allan",,"=""0385074077""","=""9780385074070""",0,"Doubleday & Company, Inc.",Hardcover,821,1984,1849,,2026/02/26,to-read,to-read (#589),to-read,,,,0,0
75016937,The Biology of Cancer,Robert A. Weinberg,"Weinberg, Robert A.",,"=""0393887650""","=""9780393887655""",0,W. W. Norton & Company,Paperback,984,2023,2006,2026/02/26,2025/12/12,,,read,,,,1,0
101159944,The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""1982117362""","=""9781982117368""",0,Scribner,Paperback,496,2023,2022,,2026/02/25,to-read,to-read (#588),to-read,,,,0,0
235336454,The Atomic Habits Workbook,James Clear,"Clear, James",,"=""""","=""9798217180509""",0,Avery,Paperback,320,2025,2025,,2026/01/16,to-read,to-read (#587),to-read,,,,0,0
45024007,The Singularity Is Nearer: When We Merge with AI,Ray Kurzweil,"Kurzweil, Ray",,"=""0399562761""","=""9780399562761""",5,Viking,Hardcover,432,2024,2024,2026/01/16,2024/10/22,favorites,favorites (#38),read,,,,1,0
44310210,Epidemics and Society: From the Black Death to the Present (Open Yale Courses),Frank M. Snowden III,"III, Frank M. Snowden",,"=""0300192215""","=""9780300192216""",0,Yale University Press,Hardcover,600,2019,2019,,2026/01/15,to-read,to-read (#586),to-read,,,,0,0
40277241,Brief Answers to the Big Questions,Stephen W. Hawking,"Hawking, Stephen W.",,"=""1984819194""","=""9781984819192""",0,Bantam,Hardcover,256,2018,2018,,2026/01/11,to-read,to-read (#585),to-read,,,,0,0
21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",0,Dey Street Books,Hardcover,303,2014,2014,,2026/01/11,to-read,to-read (#584),to-read,,,,0,0
43907405,Competing in the Age of AI: Strategy and Leadership When Algorithms and Networks Run the World,Marco Iansiti,"Iansiti, Marco",Karim R. Lakhani,"=""1633697630""","=""9781633697638""",0,Harvard Business Review Press,Kindle Edition,280,2020,2020,,2026/01/11,to-read,to-read (#583),to-read,,,,0,0
218319936,The Nvidia Way: Jensen Huang and the Making of a Tech Giant,Tae   Kim,"Kim, Tae",,"=""1324086726""","=""9781324086727""",0,W. W. Norton & Company,Kindle Edition,268,2024,,,2026/01/11,to-read,to-read (#582),to-read,,,,0,0
12321,Beyond Good and Evil,Friedrich Nietzsche,"Nietzsche, Friedrich","Michael Tanner, R.J. Hollingdale","=""014044923X""","=""9780140449235""",0,Penguin Classics,Paperback,240,2003,1886,,2026/01/11,to-read,to-read (#581),to-read,,,,0,0
20663770,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""039335038X""","=""9780393350388""",0,W. W. Norton & Company,Paperback,384,2014,2006,,2026/01/11,to-read,to-read (#580),to-read,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2026/01/11,to-read,to-read (#579),to-read,,,,0,0
17362,Black Holes & Time Warps: Einstein's Outrageous Legacy,Kip S. Thorne,"Thorne, Kip S.",Stephen W. Hawking,"=""0393312763""","=""9780393312768""",0,W. W. Norton & Company,Paperback,624,1995,1994,,2026/01/11,to-read,to-read (#578),to-read,,,,0,0
198678736,Co-Intelligence: Living and Working with AI,Ethan Mollick,"Mollick, Ethan",,"=""075356078X""","=""9780753560785""",0,Virgin Digital,Kindle Edition,243,2024,2024,,2026/01/11,to-read,to-read (#577),to-read,,,,0,0
150131,The First Three Minutes: A Modern View of the Origin of the Universe,Steven Weinberg,"Weinberg, Steven",,"=""0465024378""","=""9780465024377""",0,Basic Books,Paperback,224,1993,1977,,2026/01/11,to-read,to-read (#576),to-read,,,,0,0
61663,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sagan, Carl",,"=""0345376595""","=""9780345376596""",0,Ballantine Books,Paperback,384,1997,1994,,2026/01/11,to-read,to-read (#575),to-read,,,,0,0
17349,The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345409469""","=""9780345409461""",0,Ballantine Books,Paperback,459,1997,1995,,2026/01/11,to-read,to-read (#574),to-read,,,,0,0
10091481,Feynman Lectures on Physics Vol 2: Mainly Electromagnetism & Matter,Richard P. Feynman,"Feynman, Richard P.","Robert B. Leighton, Matthew Sands","=""0465024947""","=""9780465024940""",0,Basic Books,Paperback,592,2011,1963,2026/01/11,2021/03/16,bought,bought (#43),read,"Lisede elektromanyetizmaya kısa bir giriş yapmıştık ancak bilgisayar mühendisi olduğum için üniversitede de ders olarak aldım. Tabii ki bu kitaptaki kadar detaylı bir ders değildi, ayrıca aradan uzun zaman geçtiği için birçok şeyi unuttum. Bu konuları sevdiğim için bu kitabı almıştım ve yaklaşık 3 senedir kitaplığımda duruyordu. Kalın bir kitap olduğu için gözümü kokutuyordu, nihayet okumaya karar verdim. Bu kitabın ilgimi çekmesinin başka bir sebebi de Richard Feynman'ın lisans tez danışmanım olan hocamın hocasının hocası olması (evet çok yakınız ",,,1,0
83533,The Age of Spiritual Machines,Ray Kurzweil,"Kurzweil, Ray",,"=""0140282025""","=""9780140282023""",0,Penguin ,Trade Paperback,388,2000,1998,,2026/01/02,to-read,to-read (#573),to-read,,,,0,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,Metropolitan Books,Hardcover,282,2014,2014,,2025/12/31,to-read,to-read (#572),to-read,,,,0,0
97745,Writings on Art and Literature,Sigmund Freud,"Freud, Sigmund",Neil Hertz,"=""0804729735""","=""9780804729734""",0,Stanford University Press,Paperback,320,1997,1930,2025/12/27,2024/07/28,bought,bought (#202),read,"Kitaba ilk Türkçe yorumu yapmak için bir şeyler yazayım dedim. Ben bir kitabı okumya karar verdiysem Türkçe yorumları çok önemsiyorum, benim gibi başkaları da varsa faydalansınlar diye, okuduğum/incelediğim, Türkçe yorum olmayan kitaplara yorum yazıyorum.<br/><br/>Kitabın ilk bölümü (117 sayfa) Freud'un, Wilhelm Jensen'ın Gradiva kitabına psikanalitik yaklaşımla yazdığı  yorumu içeriyor, ben Gradiva'yı ve Freud'un yorumunu hem İngilizce hem de Türkçe olarak zaten okumuştum bu sebeple bu bölümü ikinci kez okumayacağım. Londra'daki Freud Müzesi'nin etkinliklerine düzenli olarak katılan birisiyim. Bu müze sık sık etkinlikler düzenliyor. Bu etkinikler; psikoloji, sanat, edebiyat ve felsefe alanlarında çok geniş bakış açıları sunduğu için mutlaka öneririm. <br/><br/>Freud bir tıp doktoru ancak çok yönlü bir kişiliği var. Sadece psikiyatri alanında çalışmalar yapmamış, aynı zamanda yukarıda bahsettiğim alanlarda da etkileri çok büyük olmuştur. Freud birkaç tane dili çok iyi bilir, bu diller arasında profesyonel tercumanları kıskandıracak kalitede çeviriler yapar, antika eserler satın alır, Shakespeare, Goethe, Lord Byron okur ve sıkça bu yazarlardan alıntılar yapar... kısacası oldukça entelektüel bir insandır. Bu kitapta derlenen yazılarında Freud; masal öğeleri, Michelangelo'nun Musa'sı, Medusa'nın başı, Dostoyevski gibi konuları ele aldığı gibi bir tane de Alfons Paquet adlı bir yazara yazılmış mektubu bulunmakta. Freud mektup yazmayı çok sever ve bütün mektuplarını son derece özenle, uzun uzun yazarmış. Bu sebeple, bu mektuplar bize Freud hakkında çok önemli bilgiler sağlamıştır. Kısacası, bence Freud, detaylıca incelenmesi gereken önemli bir kişilik.",,,1,0
212343501,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""""","=""""",0,Vintage,Paperback,135,2024,2023,,2025/12/21,to-read,to-read (#571),to-read,,,,0,0
28513813,Reasons to Stay Alive,Matt Haig,"Haig, Matt",,"=""1782116826""","=""9781782116820""",2,Canongate Books,Paperback,259,2016,2015,2025/12/13,2025/07/12,,,read,,,,1,0
38470190,Special Relativity and Classical Field Theory: The Theoretical Minimum,Leonard Susskind,"Susskind, Leonard",Art Friedman,"=""0141985011""","=""9780141985015""",0,Educa Books,Paperback,425,2018,2017,,2025/12/05,to-read,to-read (#570),to-read,,,,0,0
20971945,Quantum Mechanics: The Theoretical Minimum (Theoretical Minimum #2),Leonard Susskind,"Susskind, Leonard",Art Friedman,"=""024100344X""","=""9780241003442""",0,Allen Lane,Hardcover,364,2014,2014,,2025/12/05,to-read,to-read (#569),to-read,,,,0,0
60049864,General Relativity,Leonard Susskind,"Susskind, Leonard",André Cabannes,"=""0241562589""","=""9780241562581""",0,Allen Lane,Hardcover,0,2023,,,2025/12/05,to-read,to-read (#568),to-read,,,,0,0
21103421,"Classical Mechanics: The Theoretical Minimum (Theoretical Minimum, #1)",Leonard Susskind,"Susskind, Leonard",George Hrabovsky,"=""0141976225""","=""9780141976228""",0,Penguin Books,Paperback,238,2017,,,2025/12/05,to-read,to-read (#567),to-read,,,,0,0
58728517,Yaşayan Dinozor - Avian - Kuşların Evrimi ve Atalarının Serüveni,Pedram Türkoğlu,"Türkoğlu, Pedram",,"=""""","=""""",0,Ginko Bilim,Paperback,146,2021,2021,2025/12/05,2025/06/10,,,read,,,,1,0
220481360,The New Age of Sexism: How AI and Emerging Technologies Are Reinventing Misogyny,Laura Bates,"Bates, Laura",,"=""1464234361""","=""9781464234361""",0,Sourcebooks,Hardcover,352,2025,2025,,2025/11/26,to-read,to-read (#566),to-read,,,,0,0
28862707,Genetics in Minutes,Tom Jackson,"Jackson, Tom",,"=""1681443333""","=""9781681443331""",0,Quercus,Paperback,416,2016,,2025/11/23,2025/11/23,,,read,,,,1,0
850554,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,"Abbott, Edwin A.",,"=""014043531X""","=""9780140435313""",0,Penguin Classics,Paperback,118,1999,1884,,2025/11/23,to-read,to-read (#565),to-read,,,,0,0
230398396,The Women's Orchestra of Auschwitz: A Story of Survival,Anne Sebba,"Sebba, Anne",,"=""1399610740""","=""9781399610742""",0,Orion,Paperback,400,2025,2025,,2025/05/14,to-read,to-read (#529),to-read,,,,0,0
30685539,Coffee with Freud (The Interviews with Icons Series),Brett Kahr,"Kahr, Brett",,"=""1782203435""","=""9781782203438""",0,Routledge,Paperback,336,2017,2017,2025/11/07,2025/07/12,,,read,,,,1,0
22463,The Origin of Species,Charles Darwin,"Darwin, Charles",,"=""""","=""""",5,Castle,Hardcover,703,2004,1859,2025/10/29,2021/03/06,bought,bought (#48),read,,,,1,1
124956843,Hands-On Graph Neural Networks Using Python: Practical techniques and architectures for building powerful graph and deep learning apps with PyTorch,Maxime Labonne,"Labonne, Maxime",,"=""1804617520""","=""9781804617526""",0,Packt Publishing,Paperback,354,2023,,,2025/10/27,to-read,to-read (#564),to-read,,,,0,0
61397620,Graph Neural Networks in Action,Keita Broadwater,"Broadwater, Keita",Namid Stillman,"=""1617299057""","=""9781617299056""",0,Manning,Paperback,392,2025,,,2025/10/27,to-read,to-read (#563),to-read,,,,0,0
29942994,Women and Politics in Ancient Rome,Richard A. Bauman,"Bauman, Richard A.",,"=""1138138126""","=""9781138138124""",0,Routledge,Hardcover,310,2015,1992,,2023/02/22,to-read,to-read (#319),to-read,,,,0,0
11098655,The Grand Design,Stephen W. Hawking,"Hawking, Stephen W.",Leonard Mlodinow,"=""""","=""""",5,Bantam Books,Paperback,250,2011,2010,2025/10/23,2025/10/12,favorites,favorites (#37),read,,,,1,0
239009803,Deep Learning for Biology: Harness AI to Solve Real-World Biology Problems,Charles Ravarani,"Ravarani, Charles",Natasha Latysheva,"=""1098167996""","=""9781098167998""",0,O'Reilly Media,Kindle Edition,712,2025,,,2025/10/16,to-read,to-read (#562),to-read,"It's going to be hard for me to read because, sadly, the examples in the book are written in JAX, which isn’t a very popular ML library, instead of TensorFlow or PyTorch",,,0,0
223652024,The Hundred-Page Language Models Book: hands-on with PyTorch (The Hundred-Page Books),Andriy Burkov,"Burkov, Andriy",,"=""1778042724""","=""9781778042720""",0,True Positive Inc.,Paperback,208,2025,,,2025/10/14,to-read,to-read (#561),to-read,,,,0,0
205347588,Notes on Suicide,Simon Critchley,"Critchley, Simon",David Hume,"=""""","=""""",0,Fitzcarraldo Editions,Paperback,120,2020,2015,2025/10/12,2025/10/05,,,read,,,,1,0
2238678,Pragmatism: A New Name for Some Old Ways of Thinking,William  James,"James, William",,"=""0760749965""","=""9780760749968""",0,Barnes & Noble,Paperback,142,2003,1907,2025/10/07,2024/02/18,bought,bought (#192),read,,,,1,0
75361333,The Lincoln Highway,Amor Towles,"Towles, Amor",,"=""0735222363""","=""9780735222366""",0,Penguin Books,Paperback,576,2023,2021,,2022/07/02,to-read,to-read (#223),to-read,,,,0,0
56969366,Pride and Prejudice,Jane Austen,"Austen, Jane",Vivien Jones,"=""""","=""""",5,Penguin Classics,Paperback,400,2002,1813,2025/09/30,2025/09/24,,,read,,,,1,0
205218,Ethics,Baruch Spinoza,"Spinoza, Baruch","Stuart Hampshire, Edwin M. Curley","=""0140435719""","=""9780140435719""",0,Penguin Classics,Paperback,186,2005,1677,2025/09/23,2024/02/26,bought,bought (#190),read,,,,1,0
223889699,"The Secret of Secrets (Robert Langdon, #6)",Dan    Brown,"Brown, Dan",,"=""0385546890""","=""9780385546898""",5,Doubleday,Hardcover,677,2025,2025,2025/09/19,2025/02/23,,,read,"Sasha'nın epilepsi nöbetlerini durdurmak için demir çubuk kullandığını okuduğum an Sasha'nın Golem olduğunu ve çoklu kişilik bozukluğuna sahip olduğunu tahmin ettim. Karakterler çok yüzeysel kalmış maalesef. Pavel gibi bir karakterin bile bir hikayesi varken Gessner o kadar şeyi neden yapmış, çocukluğunda, gençliğinde neler yaşamış hiçbir bilgi yok. Bunun yanında, büyükelçinin Robert ile Katherine'e son dakikada ihanet etmesi kitabı biraz daha heyecanlı kılabilirdi. Sasha'nın beynindeki implantların çıkarılması kitap için daha güzel bir son olurdu, ya da Dimitri'nin ölmemiş olup Finch çıkması harika olurdu. Bunların haricinde, beynin aslında bilincin anteni olması vs. kısımlarını asla inandırıcı bulmadım.<br/><br/>Not: Yorumun bundan sonrası yazarın Başlangıç, Cehennem ve Kayıp Sembol kitaplarından spoilerlar içeriyor.<br/><br/>Bence Kayıp Sembol daha iyi kurgulanmıştı. Mal'akh'ın Peter Solomon'ın oğlu (Katherine Solomon'ın yeğeni) Zachary Solomon çıkması gayet güzel ve tahmin edemediğim bir detaydı. Ya da Cehennem'deki Sienna Brooks'un işin içinde olması ve Bertrand Zobrist ile olan ilişkisinin gay bir ülişki olmaması güzel detaylardı. Ancak mesela Başlangıç kitabında da  katilin bilgisayar olduğunu daha ilk sayfalardan tahmin etmiştim. Belki benimle ilgili bir şeydir, bilmiyorum ama son iki kitapta her şeyi önceden tahmin edebilmiş olmam benim için iyi olmadı.<br/>",true,,1,0
40664384,Seven types of atheism,John   Gray,"Gray, John",,"=""0141981105""","=""9780141981109""",0,Penguin Books Ltd,Paperback,176,2019,2018,,2025/09/14,to-read,to-read (#560),to-read,,,,0,0
685193,You don't have to be born brilliant: How to design a magnificent life,John McGrath,"McGrath, John",,"=""0733607969""","=""9780733607967""",0,Hodder Headline Australia,Paperback,210,2000,2000,,2024/10/20,,,read,,,,1,0
48647323,Women in Classical Antiquity: From Birth to Death,Laura K. McClure,"McClure, Laura K.",,"=""1118413652""","=""9781118413654""",0,Wiley-Blackwell,Kindle Edition,296,2019,,,2025/09/13,to-read,to-read (#559),to-read,,,,0,0
18552580,"Evolution in Four Dimensions: Genetic, Epigenetic, Behavioral, and Symbolic Variation in the History of Life",Eva Jablonka,"Jablonka, Eva",Marion J. Lamb,"=""0262525844""","=""9780262525848""",0,Bradford Books,Paperback,576,2014,2005,,2025/09/13,to-read,to-read (#558),to-read,,,,0,0
783559,ORIGINS OF ORDER: Self-Organization and Selection in Evolution,Stuart A. Kauffman,"Kauffman, Stuart A.",,"=""0195079515""","=""9780195079517""",0,Oxford University Press,Paperback,729,1993,1993,,2025/09/13,to-read,to-read (#557),to-read,,,,0,0
43212028,"Bioinformatics with Python Cookbook: Learn how to use modern Python bioinformatics libraries and applications to do cutting-edge research in computational biology, 2nd Edition",Tiago Antao,"Antao, Tiago",,"=""1789349982""","=""9781789349986""",2,Packt Publishing,Kindle Edition,360,2018,,2025/09/09,2025/07/12,,,read,,,,1,0
12370871,Portraits of a Marriage (Vintage International),Sándor Márai,"Márai, Sándor",,"=""1400096677""","=""9781400096671""",0,Knopf Doubleday Publishing Group,Paperback,384,2012,1941,,2025/09/09,to-read,to-read (#556),to-read,,,,0,0
783505,Embers,Sándor Márai,"Márai, Sándor",Carol Brown Janeway,"=""0375707425""","=""9780375707421""",0,Vintage International,Paperback,213,2002,1942,,2025/09/09,to-read,to-read (#555),to-read,,,,0,0
121513803,"Research Design: Qualitative, Quantitative, and Mixed Methods Approaches 5th Edition by John W. Creswell, J. David Creswell Paperback",David Creswell,"Creswell, David",,"=""""","=""9798838217615""",0,Independently published,Paperback,323,2022,,,2025/09/09,to-read,to-read (#554),to-read,,,,0,0
60311937,Epigenetik : Deneyimler Kalıtımla Nasıl Aktarılır?,Bernhard Kegel,"Kegel, Bernhard",Sema Özgün,"=""605020876X""","=""9786050208764""",3,Say Yayınları,Paperback,384,2022,2009,2025/09/08,2023/08/01,bought,bought (#161),read,,,,1,0
64923,"Darwin's Radio (Darwin's Radio, #1)",Greg Bear,"Bear, Greg",,"=""0345459814""","=""9780345459817""",0,Ballantine Books,Paperback,448,2003,1999,,2025/09/06,to-read,to-read (#553),to-read,,,,0,0
39706026,The Man In The High Castle,Philip K. Dick,"Dick, Philip K.",,"=""1473223474""","=""9781473223479""",0,Gollancz,Hardcover,274,2019,1962,,2025/09/01,to-read,to-read (#552),to-read,,,,0,0
240234032,Learning to Learn: Reinforcement Learning Explained for Humans,Satyam Mishra,"Mishra, Satyam","Vishwanath Bijalwan, Youngshik Kim","=""""","=""""",0,,Kindle Edition,,2025,,,2025/08/25,to-read,to-read (#551),to-read,,,,0,0
216145084,Why Machines Learn: The Elegant Maths Behind Modern AI,Anil Ananthaswamy,"Ananthaswamy, Anil",,"=""0241586488""","=""9780241586488""",0,Allen Lane,Hardcover,480,2024,2024,,2025/08/25,to-read,to-read (#550),to-read,,,,0,0
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",0,Sceptre,Hardcover,342,2018,2018,2025/08/22,2025/07/14,,,read,,,,1,0
6929099,Exploring Bioinformatics: A Project-Based Approach,Caroline St. Clair,"Clair, Caroline St.",,"=""0763758299""","=""9780763758295""",0,Jones & Bartlett Learning,Paperback,360,2010,2009,,2025/08/19,to-read,to-read (#549),to-read,,,,0,0
169047680,Bioinformatics and Functional Genomics,Jonathan Pevsner,"Pevsner, Jonathan",,"=""""","=""""",0,Willey India,Paperback,0,,,,2025/08/19,to-read,to-read (#548),to-read,,,,0,0
41705392,Bioinformatics Algorithms: An Active Learning Approach,Phillip Compeau,"Compeau, Phillip",Pavel Pevzner,"=""0990374637""","=""9780990374633""",0,Active Learning Publishers,Hardcover,728,2018,2014,,2025/08/19,to-read,to-read (#547),to-read,,,,0,0
55367515,"The Authority Gap: Why Women Are Still Taken Less Seriously Than Men, and What We Can Do About It",Mary Ann Sieghart,"Sieghart, Mary Ann",,"=""0857527576""","=""9780857527578""",0,Doubleday,Paperback,388,2021,2021,,2025/08/16,to-read,to-read (#546),to-read,,,,0,0
190920,"The Cave of Time (Choose Your Own Adventure, #1)",Edward Packard,"Packard, Edward",,"=""0553208926""","=""9780553208924""",0,Bantam USA,Paperback,115,1982,1979,,2025/08/16,to-read,to-read (#545),to-read,,,,0,0
